# TM102 capture — label=general-timed port=/dev/cu.usbserial-0001 started=20260826-132002
locked RF_CH 50 (2450 MHz)

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: F1 77 DE F5 FC 73 DF FA 25 1C BF F7 | T:16711 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA FE FE 70 FF 7E 92 9E BF FF | T:16723 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA F5 EE 73 DF FA 25 1C BB 7D | T:16723 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 FA FA FE 70 F7 7E 92 9E AF EE | T:16734 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FA FE EE 70 FF 5F 12 9E AF 7F | T:16735 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA FD FE 73 FB F7 25 1C AF AF | T:16746 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 EF FE FE 70 FF 1F 92 9E AA FF | T:16746 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FC FD FE 73 FD 7D 25 1C AF FF | T:16757 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 75 F4 F6 70 EF FD 12 9E AE FF | T:16769 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 76 FD EE 73 FD F7 25 1E BF FF | T:16769 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 DE F5 D6 73 FA F6 25 1C AF BF | T:16780 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA FD FE 73 FA FF 25 1C BF DD | T:16781 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FD FE FE 70 FF 5E 92 9E AF FF | T:16792 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 F4 F5 DC 73 DA FF 25 1C AB B7 | T:16792 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BE FE FE 70 FB FF 52 9C BF FF | T:16803 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FD F5 FE 73 DF FD 25 1C AB FB | T:16815 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 F4 EE FA 70 FE BE D2 9E AB FF | T:16815 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 F4 F5 EC 73 DF FE A5 1C AF FE | T:16826 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA ED FE 73 DF FB 25 1C BF FD | T:16826 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 FB FE F6 70 FE BF 52 9E AB FF | T:16838 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 DE FE FE 70 FE FE 92 9E BF 9F | T:16838 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 75 F5 EC 73 FA FA 25 1C AA DF | T:16849 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FD FE FE 70 FE BF 92 9E AF FF | T:16861 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 BE F5 FE 73 EE FD 25 1C AF FF | T:16861 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 F6 F6 FE 70 FF BF 92 9E AF FB | T:16872 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FA FC EE 70 FE FF 92 9C BE DF | T:16872 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 7E FD FE 73 DE FD 25 1C BE FF | T:16884 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA FD F5 70 FF BF 52 9E AD FB | T:16884 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 B4 F5 FC 73 DF F7 25 1C AF FD | T:16895 RPD:1
[CH: 50] LEN: 12 | HEX: ED 77 7E FE FE 70 FF 5F 12 9E AF FF | T:16907 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA F5 EA 73 EF FD 25 1C BF 7E | T:16907 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 7A E9 EE 73 FA FE A5 1C BF FF | T:16918 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BE FD FE 73 FD 7E A5 1C AF 7F | T:16918 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FD F6 FE 70 FF BF 52 9E AF EA | T:16930 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 74 F5 FE 73 FD 7F 25 1C AF D6 | T:16930 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 BA FE FC 70 F7 FE 92 9D AF BF | T:16941 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FD F9 FD 73 BA FF 25 1C AF FB | T:16953 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FA F6 FE 70 F7 FE 92 9E AF 6F | T:16953 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 D6 F9 FF 73 DD FA 25 1C AF DF | T:16964 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 BC F5 FE 73 FB FE A5 1C BF EF | T:16964 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FE F6 FE 70 FE BE 92 9E BF FF | T:16976 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 B6 FE F6 70 EF 7D 12 9C AE FF | T:16976 RPD:0
