# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-140054
locked RF_CH 50 (2450 MHz)

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: F2 76 FE F7 7A EB FE BF 4A 54 AF F5 | T:2470541 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE E6 7B BD 7F B7 96 B1 BF FF | T:2470571 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 70 EF 7E BD E3 BF AF BD | T:2470601 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F4 79 EF FD 7F 3F 5A BF 7F | T:2470631 RPD:1
[CH: 50] LEN: 12 | HEX: F2 7E F6 F2 7B BF 7F FF D5 46 BF EF | T:2470691 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F0 7D F7 5F 5A 7C AD BF BF | T:2470751 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 EF 62 EF FF 5F D2 47 B7 FF | T:2470781 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 FE EE 63 FB FB DF 0E A2 AF 7F | T:2470811 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FD ED 60 EE BE BF 7B AC BF D5 | T:2470840 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EC 61 EF FD FF A7 49 AB 7D | T:2470870 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EB 66 FF 7F 5B 91 B0 BF FB | T:2470900 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 EA 67 FA FB FF 4D 55 AE E5 | T:2470930 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E9 64 FF 5E F7 38 5B BF EF | T:2470960 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC E8 65 FF 5F F5 E4 BD BF FB | T:2470990 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E7 6A FF BF FB 55 A9 BF 7A | T:2471020 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E6 6B FE FE FF 89 4C AF FF | T:2471050 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E5 68 EF FF 75 F4 42 AF FF | T:2471080 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 E4 69 AF FA FF 20 A7 3F FE | T:2471110 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E3 6E EF 7F B5 96 5E BF 7F | T:2471140 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE E2 6F F5 FF BF AA BB AB DF | T:2471170 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E1 6C F7 BF 7F BF B5 AF 7A | T:2471200 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F0 6D FE BD 6B 63 50 AF F6 | T:2471230 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE DF 52 F7 FF 5F F2 40 BF FF | T:2471260 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EE 73 DF FD 7F 11 5D 3E BF | T:2471311 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F5 70 FF 5F 77 64 51 BF F7 | T:2471341 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FA F4 71 FE BF FD 78 B4 AF 6F | T:2471371 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 F3 76 FF 5F 75 8E 4D AD BD | T:2471401 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FB FA 77 7F F5 FE D2 A8 BF FF | T:2471431 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 F6 D1 74 FF FF AF 27 A6 AF FD | T:2471461 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F8 75 FF FA FF 7B 43 BF FF | T:2471491 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F7 7A FF AF FE 4A 54 B7 BF | T:2471521 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F6 7B FD 7D 7F D6 B1 BD 71 | T:2471551 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F5 78 EA AF 54 E3 BB AE FB | T:2471581 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FD F4 79 FE BF F7 3F 5A B7 6F | T:2471611 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F3 7E FB 5E BE 09 A3 AF FB | T:2471641 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F2 7B DF AF 7D D5 46 AD 7F | T:2471671 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 78 F7 AF DD A0 48 AF BF | T:2471701 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E0 7D D7 FE FF 7C AD BF BF | T:2471731 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 EE 62 F5 5E B7 D2 47 BF FF | T:2471761 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EE 63 FD FB FF 0E A2 AF F5 | T:2471791 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 ED 60 FF 5F FF 7B AC B7 F5 | T:2471821 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE EC 61 FF 5F FA A7 49 AF FF | T:2471851 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA EB 66 F7 FF 77 91 B0 AF FF | T:2471881 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EA 67 D5 7F D7 4D 55 AF DF | T:2471911 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 F5 5F BA 38 5B AD 7F | T:2471941 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7E FA E8 65 FE BE DF F4 BC BF FB | T:2471971 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E7 6A F6 A2 B8 55 A9 BD DA | T:2472001 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E6 6B FE FD FF C9 4C AF D5 | T:2472031 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FB E5 68 EE FF 6B E8 42 BE BF | T:2472061 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE E4 69 FD 7F D7 20 A7 BF FB | T:2472091 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E3 6E EF FE BF 16 5E AF FF | T:2472121 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E2 6E FF EB 7F 4A BB AD FF | T:2472151 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C FF 7E EF BF B5 BF FF | T:2472181 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EA E0 6D EF 5F FD 63 50 BB 7F | T:2472211 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE DE 52 FF 5F 5F F2 40 BF 5F | T:2472241 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F6 73 ED 7A FF 11 5F 3F 7F | T:2472291 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FD 70 FF AF DF 64 51 BF FF | T:2472294 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 FA 71 FF FE FF B8 B4 BD FF | T:2472324 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA FB 76 FB 5F FB 8E 4D BF FB | T:2472354 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE EA 77 76 FB FF 52 A8 AF FF | T:2472384 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 7C F7 DF AF 27 A6 BF 7F | T:2472414 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EA F0 75 FE BF F5 F3 43 AF FD | T:2472444 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A FD DF DE 4A 54 BF FA | T:2472474 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 F6 73 BA FD EB 96 B1 AF FF | T:2472504 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 78 EE BF 6A E3 FF AE FF | T:2472534 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7E F6 F4 79 FE 7F FA 3E 5A AF 3F | T:2472564 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F3 7E FF 5F 7F 09 A3 BF F7 | T:2472594 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F2 77 5F F5 F5 95 46 AF FD | T:2472624 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F1 7C EB BF 7F A0 48 AE EF | T:2472654 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F0 7D FF 57 FE FC AD BF DF | T:2472684 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 F7 FF AF D2 47 B7 BF | T:2472714 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE EE 63 DE BE F5 0E A2 BF FF | T:2472744 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE ED 60 F7 BF BC FB AC AF FF | T:2472774 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EC 61 FF FE BF 27 49 B7 7E | T:2472804 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 EB 66 FB 5F 5F 91 B0 BB FB | T:2472834 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EA 67 FE BF F5 4D 55 AE EE | T:2472864 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 FF AF FE 38 5B BF FF | T:2472894 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E8 65 FD 7E FF 94 BA AF 6B | T:2472924 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E7 6A FF CB FC D5 29 B6 DE | T:2472954 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E6 6B FD FF D7 89 4C AD FD | T:2472984 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E5 68 F2 EF FF 7C 42 B7 FF | T:2473014 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E4 69 FF 7E BA 20 A7 AB F5 | T:2473044 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E3 6E FE BF F5 16 5E BF F6 | T:2473074 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E2 6F F5 FF EF CA BB 5B FE | T:2473104 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C FD BF BF BF B5 BF FA | T:2473134 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E0 6D FE BE EF 63 50 AE DD | T:2473164 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DE 52 EE BF 7F FA 40 B6 FF | T:2473194 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F4 73 BA FB FF 11 5F 2F EE | T:2473224 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FD E9 70 FB FF AF 64 51 BA FB | T:2473228 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EC E8 79 DD FB FF F8 B4 BB FF | T:2473258 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FB 76 FF 5F EB 8E 4D AE E5 | T:2473288 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FA 77 FD FF 5F 52 A8 BD DF | T:2473318 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 F7 FE BF 27 A6 AE FF | T:2473348 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F8 75 EF 5F 5F F7 43 EF FF | T:2473378 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FE 7B FD 7F 75 96 B1 BD FF | T:2473438 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 70 F6 BE FF F3 BD AF FF | T:2473468 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 E4 79 FD 7B FF 3F 5A AF FF | T:2473498 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 F3 7E FF 5F F5 09 A3 B5 FD | T:2473528 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F2 7B 4B FE BF D5 46 AF BF | T:2473558 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F1 78 FE BF F5 A0 48 AF FD | T:2473588 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F0 7D FD 7D 77 74 AD BF F7 | T:2473618 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EE 63 DB FB D7 0E A2 BF FE | T:2473678 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F5 ED 60 FF 7F 7F 7B AC AF 57 | T:2473707 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EC 61 FF 5F 5A A7 49 AF FF | T:2473737 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F7 EB 66 FF 5F BA 91 B0 BD BF | T:2473767 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EA 67 FA F5 AF 4D 55 BD FE | T:2473797 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E9 64 FF 5F 7F 38 5B FF 5E | T:2473827 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E8 65 FD 5F BB E4 BC BF FF | T:2473857 RPD:1
[CH: 50] LEN: 12 | HEX: FE 76 FE E7 6A FE BF EF 55 A9 AE FD | T:2473887 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE E6 6B DB FB AF 89 4C AE FD | T:2473917 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E5 68 FF BF FB F4 42 AF FF | T:2473947 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E4 69 EE FF FA 20 A7 BF EF | T:2473977 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E3 6E FF 57 FE 16 5E BE BF | T:2474007 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 EA E2 6F F5 FF 5F 8A BB BF 5A | T:2474037 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 E1 6C FE BF FA BB B5 BF BF | T:2474067 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E0 6D FF FF 5E E3 50 AF 7F | T:2474097 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 DF 52 FF FE BF F2 40 BF FB | T:2474127 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 FE 73 DE BF D7 11 5F BF BF | T:2474157 RPD:1
