# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-153939
[CH: 50] LEN: 12 | HEX: EA 73 FB 00 81 F8 93 F7 D7 B1 BB 5F | T:8383300 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7E EE FC 70 93 D7 DC D9 BF FF | T:8383331 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 76 ED DC 73 93 BF 6B 5B BF EF | T:8383334 RPD:1
[CH: 50] LEN: 12 | HEX: F9 7F FA F4 FA 72 93 FF EE 3A AB FF | T:8383337 RPD:1
[CH: 50] LEN: 12 | HEX: D1 77 EE EB FE 65 93 DD 14 7E BF EF | T:8383348 RPD:1
[CH: 50] LEN: 12 | HEX: E9 7F 7E F6 ED 74 93 FD 89 1D BF 3B | T:8383348 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 7E F8 FF 76 93 B7 A3 B8 BF F2 | T:8383360 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 6E EF EE 79 93 FF FA 34 AD FE | T:8383371 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 5A F6 EE 70 93 AF DC D9 BF FF | T:8383371 RPD:0
[CH: 50] LEN: 12 | HEX: E9 7F 76 FC FE 72 93 F7 EE 3A BF FB | T:8383382 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 5E EF FE 79 93 FF FA 34 BB 6F | T:8383383 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 7A FE FA 70 93 F7 DC D9 BB EF | T:8383394 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 BC EC FD 72 93 FB EE 3A BF FF | T:8383394 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 76 F7 BE 7D 93 DF 14 7E BA FA | T:8383406 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 B6 F8 FE 76 93 DF A3 B8 B7 EF | T:8383417 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FE ED F6 70 93 BF DC D9 B6 FF | T:8383417 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 7E FC EC 72 93 B7 EE 3A BF DF | T:8383428 RPD:0
[CH: 50] LEN: 12 | HEX: F9 7F BE F9 FE 77 93 F7 3E 9D BB BF | T:8383429 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 B6 FF DE 79 93 DF FA 34 B7 7F | T:8383440 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BE FA F6 72 93 BF B6 3A B7 FF | T:8383451 RPD:0
[CH: 50] LEN: 12 | HEX: FD 77 F6 FB FA 75 93 DF 14 7E AB B5 | T:8383452 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 F6 F9 DD 77 53 BF 3D 9D BE FE | T:8383463 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE FD EC 73 93 FD 6B 5B BF FF | T:8383463 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 BE FC FA 72 93 FF D6 3A BF B7 | T:8383474 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 BE F5 DE 77 53 FB 3A 9D BB DF | T:8383475 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 F6 F0 DD 76 93 DB A3 BA AA DF | T:8383486 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 7E FD ED 73 93 FD 6B 5B AD DF | T:8383497 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 76 F8 FD 72 93 BB D6 3A BF FF | T:8383497 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 74 FA F6 74 93 BB 89 1D AF FD | T:8383509 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 76 FE FC 70 93 BB DC D9 BF BF | T:8383509 RPD:0
[CH: 50] LEN: 12 | HEX: F1 67 EE D5 FA 73 93 FB 6B 5B BF FF | T:8383520 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 7E EA FF 74 93 D7 89 1F BE F6 | T:8383532 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 EE E9 EC 77 93 BB 3A 9D BF 6F | T:8383532 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BE FD EF 70 93 DF FC D9 BF FF | T:8383543 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FE EA FD 74 93 FF 89 1B BB FF | T:8383543 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 74 F5 DE 77 93 FB 3E 9D B7 BE | T:8383555 RPD:1
[CH: 50] LEN: 12 | HEX: D9 77 EE EE EE 60 93 77 D8 D9 BF FF | T:8383566 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 B6 ED FC 73 93 FB 6B 5B AB 6F | T:8383566 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 BE FB FE 75 93 BF 14 76 BB F6 | T:8383578 RPD:1
[CH: 50] LEN: 12 | HEX: F9 7F F6 F7 76 71 93 FF DA 34 BF FF | T:8383578 RPD:0
[CH: 50] LEN: 12 | HEX: E9 67 FE FD EE 70 93 FB DE D9 BF BF | T:8383589 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BE FB B6 75 93 FB 14 7E B7 FF | T:8383589 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 EE EA F7 74 93 BB 89 1D BF DF | T:8383601 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 F4 EF F6 79 93 B7 DA 34 B7 FF | T:8383612 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 7E FD ED 70 93 F7 DC D9 BA FA | T:8383612 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE EB FE 75 93 DF 14 7E AF FF | T:8383624 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 B6 F8 FF 7E 93 BF A3 DA BF FF | T:8383624 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 7E EF 76 75 93 F7 AA 34 BF FA | T:8383635 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 EE EC FF 72 93 BF D6 3A BA FE | T:8383646 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F6 EA FF 74 93 7F 89 1F B7 FF | T:8383647 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BE F4 EF 76 93 FB A3 F4 BF DF | T:8383658 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F6 FC F6 72 93 BB E6 3A B7 FD | T:8383658 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 6E FB F6 75 93 F7 14 7E BF CB | T:8383670 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 6E F8 FF 76 93 F5 A3 D8 AB BF | T:8383670 RPD:0
[CH: 50] LEN: 12 | HEX: D1 77 FE FD FA 70 93 B7 DC D9 BF FF | T:8383681 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 B6 EC ED 72 93 FF EE 3A BF FF | T:8383692 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F6 EB F6 75 93 BB 14 76 BE FF | T:8383693 RPD:0
[CH: 50] LEN: 12 | HEX: D9 77 76 EF FE 71 93 DF DA 34 AF BF | T:8383704 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7A EC EE 6A 93 B7 EE 3E B7 DF | T:8383704 RPD:0
