# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-145842
0] LEN: 12 | HEX: FA 76 FE E0 6D F1 92 FA AC 86 AF FF | T:5922522 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EA E9 70 F9 92 F7 2B 87 BF BF | T:5927966 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E8 71 F9 92 FE F7 62 B7 EF | T:5927970 RPD:1
[CH: 50] LEN: 12 | HEX: F2 7E FE F3 76 F5 92 FF 41 9B BF FF | T:5927982 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FA 77 75 92 EB 5D 7E BF FF | T:5927982 RPD:0
[CH: 50] LEN: 12 | HEX: F6 76 FE F9 74 F5 92 FE A8 70 BF FE | T:5927993 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 FE F4 75 E9 92 F6 B4 95 BF FE | T:5927993 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 F7 72 E9 92 FF 45 82 AF EE | T:5928005 RPD:0
[CH: 50] LEN: 12 | HEX: F6 76 FE E5 78 F1 92 F6 2C 69 BF FF | T:5928023 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FD F4 79 E9 92 FF F0 8C AD FF | T:5928053 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 EB 7E F5 92 FD C6 75 BF FD | T:5928083 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EA 7F 79 92 EF 1A 90 AA AB | T:5928113 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE E9 74 E9 92 FD 6F 1D BF F7 | T:5928143 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD F8 7D F9 92 EE B3 77 AF FE | T:5928173 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 EE E2 F9 92 FE 1D 91 BE D6 | T:5928203 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 EE 63 D9 92 EF C1 74 AF FA | T:5928233 RPD:1
