# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-154512
[CH: 50] LEN: 12 | HEX: FA 76 F6 F5 78 79 91 FF C2 60 AF D7 | T:8716634 RPD:1
[CH: 50] LEN: 12 | HEX: F2 7B FD 80 81 71 91 EE 5D E1 BE F7 | T:8716858 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7B FF 00 81 79 91 FF 9D F1 BF BF | T:8716859 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 D5 FE EA 70 91 EF 3A BB FD FF | T:8716888 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 DB F5 FE 73 91 FF 0D 39 AF ED | T:8716891 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FA FC FA 72 91 FD 10 58 BF BB | T:8716894 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 EE FB EE 75 91 FF F2 1C BB FB | T:8716906 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FC F2 F5 74 91 FF 4F 7D BF DD | T:8716906 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FD F1 FE 77 11 EF 58 F5 3B DB | T:8716917 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FD F0 FD 76 91 FF 45 9E BF FF | T:8716929 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 BD F7 BC 79 91 EF 0C 56 AB D7 | T:8716929 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FB F8 FE 72 91 AA 10 58 BB B5 | T:8716940 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BF F0 FE 76 91 FE A5 9E BB EF | T:8716940 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FE F7 FC 79 91 FF CC 56 BF FE | T:8716952 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE FC FE 72 91 FF 90 58 AE FF | T:8716952 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 EC FB FE 75 91 FF 72 1C BF 7F | T:8716963 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FA F8 FE 76 91 FF 45 9E AF FE | T:8716975 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 7E F7 5A 79 91 FF 8C 56 BF FF | T:8716975 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FC FC FE 72 91 FF 10 58 B7 FF | T:8716986 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FB F9 FE 77 91 DE 58 F7 3F EF | T:8716986 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 DB F0 F4 76 91 DE C5 9E BF 7F | T:8716998 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BD FD FE 73 91 DD 0D 39 B7 FF | T:8717009 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 DD FC FE 72 91 F7 90 58 AD FB | T:8717009 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 ED F9 FA 77 91 F6 58 FF FF FF | T:8717021 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FD FD FE 73 91 FF 0D 39 AD FF | T:8717021 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FD FC FA 72 91 FF D0 58 BF FF | T:8717032 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 EA F9 F4 77 91 FE 58 FF FB FF | T:8717032 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FD F8 FA 76 91 FD 45 9E BF FF | T:8717044 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 EE F9 FE 73 91 F6 0D 39 BE FF | T:8717055 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE FC FE 72 91 FF 90 58 BF BF | T:8717055 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BB FA F5 74 91 FF AF 7D AD FF | T:8717067 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FD FE FE 70 91 FF BA BB BF BD | T:8717067 RPD:0
[CH: 50] LEN: 12 | HEX: F9 7F FE FD DC 73 91 DD 0D 39 BD EF | T:8717078 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE EE FE 74 91 FF 5F 79 2F FF | T:8717089 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA F9 FE 77 91 FF 58 FF AF FF | T:8717090 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FC FE F6 70 91 FF FA BB BF FF | T:8717101 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BD FA FA 74 91 FF AF 7D BF 6F | T:8717101 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FD F9 F6 77 91 FE 58 FF FF DD | T:8717113 RPD:1
