# TM102 capture — label=buzz-2 port=/dev/cu.usbserial-0001 started=20260826-133344
[CH: 50] LEN: 12 | HEX: E9 77 FA FF FF 73 95 FE C1 ED BF FF | T:827103 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 BA F6 FE 70 95 EE 76 7F BB FB | T:827114 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 54 E9 F6 73 95 FF C1 DD B6 ED | T:827114 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA F5 FE 70 95 EF 76 7F BF EF | T:827126 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 F4 F5 FC 73 95 EE C1 F7 AF FB | T:827126 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 BE FF FA 70 95 FE F6 7F 7F 6E | T:827137 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 BE F6 EE 70 95 FD 76 7B BF F7 | T:827137 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA FD FE 73 95 F7 C1 ED BF FF | T:827149 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 DE F4 FE 70 95 EF 76 7D 3B FF | T:827160 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FC FD FF 73 95 F7 C1 ED BF 7F | T:827160 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BA F4 FE 70 95 FD 76 7F 7D FF | T:827172 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 F4 F6 F6 70 95 F7 76 7F BF FB | T:827172 RPD:0
[CH: 50] LEN: 12 | HEX: FD 77 BE F5 ED 73 95 FF C1 DB BF FF | T:827183 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 54 F9 F6 73 95 EF C1 FD BF DF | T:827183 RPD:0
[CH: 50] LEN: 12 | HEX: ED 77 6A EA F6 70 95 DD 76 77 BF BF | T:827195 RPD:1
[CH: 50] LEN: 12 | HEX: F5 67 BA D5 DE 73 95 DD 41 D5 BF 77 | T:827206 RPD:1
[CH: 50] LEN: 12 | HEX: ED 77 D4 EA F6 70 95 DD 76 7F 7F EF | T:827206 RPD:0
